barcode,age_category,round,treatment,hours,R_mean,R_sd,R_median,G_mean,G_sd,G_median,B_mean,B_sd,B_median
UCSB-IZC00047045,collections,2,dry,31,17.695,25.332,4,75.617,41.924,78,49.642,30.17,52
UCSB-IZC00030039,collections,2,humid,48,55.415,38.008,57,90.185,47.706,92,45.998,29.734,46
UCSB-IZC00030369,collections,2,humid,48,87.201,34.942,93,99.786,41.227,98,44.131,22.17,44
UCSB-IZC00036314,collections,2,dry,48,19.298,24.729,7,40.168,37.274,29,42.022,37.135,33
UCSB-IZC00036602,collections,2,humid,48,100.089,43.399,106,88.092,37.43,95,37.641,20.165,39
UCSB-IZC00037139,collections,2,dry,48,49.632,30.66,50,76.964,34.501,80,43.772,24.94,46
UCSB-IZC00038809,collections,2,dry,48,31.492,30.031,25,70.247,42.261,72,41.613,28.808,43
UCSB-IZC00041536,collections,2,dry,48,30.788,33.204,17,92.996,49.097,92,70.094,40.969,67
UCSB-IZC00041550,collections,2,dry,48,15.274,21.963,4,76.651,43.897,74,61.096,36.975,60
UCSB-IZC00042037,collections,2,humid,48,59.363,34.072,62,78.362,40.593,79,34.501,21.86,36
UCSB-IZC00042297,collections,2,humid,48,92.21,47.32,91,89.117,44.085,90,34.188,19.823,36
UCSB-IZC00043430,collections,2,humid,48,64.707,41.658,66,80.611,42.923,83,29.941,20.343,31
UCSB-IZC00047045,collections,2,dry,48,24.583,28.852,12,85.479,48.043,85,57.638,35.517,58
UCSB-IZC00030039,collections,2,humid,55,66.285,35.293,67,100.316,41.331,102,50.424,22.011,49
UCSB-IZC00030369,collections,2,humid,55,104.758,38.725,105,117.936,38.795,117,46.827,19.132,46
UCSB-IZC00036314,collections,2,dry,55,24.434,24.545,15,47.927,32.442,41,51.491,34.922,45
UCSB-IZC00036602,collections,2,humid,55,96.943,46.769,103,86.833,41.089,94,38.94,20.748,41
UCSB-IZC00037139,collections,2,dry,55,51.303,31.116,50,74.256,36.679,75,43.567,23.028,46
UCSB-IZC00038809,collections,2,dry,55,41.091,32.255,40,93.367,40.227,95,62.238,28.231,61
UCSB-IZC00041536,collections,2,dry,55,34.678,33.829,27,88.423,44.983,87,67.668,39.445,64
UCSB-IZC00041550,collections,2,dry,55,19.752,24.521,8,85.758,38.436,86,69.502,32.304,71
UCSB-IZC00042037,collections,2,humid,55,84.595,40.373,89,105.317,42.339,111,50.776,23.858,52
UCSB-IZC00042297,collections,2,humid,55,93.785,48.239,90,91.165,44.156,91,37.14,19.2,39
UCSB-IZC00043430,collections,2,humid,55,92.276,42,95,110.383,43.691,115,43.75,22.255,43
UCSB-IZC00047045,collections,2,dry,55,24.492,27.961,13,83.954,42.061,87,58.974,29.723,62
UCSB-IZC00045248,freezer,1,humid,0,56.085,43.763,51,86.014,47.446,81,37.816,25.342,36
UCSB-IZC00045541,freezer,1,humid,0,42.703,44.38,35,103.001,52.63,103,58.538,36.36,55
UCSB-IZC00062771,freezer,1,humid,0,68.513,45.947,72,98.857,51.266,109,46.686,27.405,47
